datas,codigo,tipo,simbolo,compra,venda
2012024,220,A,USD,4.891,4.8916
3012024,220,A,USD,4.9206,4.9212
4012024,220,A,USD,4.9182,4.9188
5012024,220,A,USD,4.8893,4.8899
8012024,220,A,USD,4.8844,4.885
9012024,220,A,USD,4.8931,4.8937
10012024,220,A,USD,4.8895,4.8901
11012024,220,A,USD,4.8788,4.8794
12012024,220,A,USD,4.8537,4.8543
15012024,220,A,USD,4.8759,4.8765
16012024,220,A,USD,4.9032,4.9038
17012024,220,A,USD,4.934,4.9346
18012024,220,A,USD,4.9397,4.9403
19012024,220,A,USD,4.9217,4.9223
22012024,220,A,USD,4.9484,4.949
23012024,220,A,USD,4.9709,4.9715
24012024,220,A,USD,4.9186,4.9192
25012024,220,A,USD,4.9226,4.9232
26012024,220,A,USD,4.9119,4.9125
29012024,220,A,USD,4.9219,4.9225
30012024,220,A,USD,4.9632,4.9638
31012024,220,A,USD,4.9529,4.9535
1022024,220,A,USD,4.9344,4.935
2022024,220,A,USD,4.9465,4.9471
5022024,220,A,USD,5.0047,5.0053
6022024,220,A,USD,4.9681,4.9687
7022024,220,A,USD,4.9602,4.9608
8022024,220,A,USD,4.9798,4.9804
9022024,220,A,USD,4.9711,4.9717
14022024,220,A,USD,4.9717,4.9723
15022024,220,A,USD,4.9704,4.971
16022024,220,A,USD,4.9755,4.9761
19022024,220,A,USD,4.9579,4.9585
20022024,220,A,USD,4.9402,4.9408
21022024,220,A,USD,4.9297,4.9303
22022024,220,A,USD,4.9413,4.9419
23022024,220,A,USD,4.9845,4.9851
26022024,220,A,USD,4.9813,4.9819
27022024,220,A,USD,4.9569,4.9575
28022024,220,A,USD,4.9551,4.9557
